"Colo was the first of these great apes born in captivity, in 1956 at the Columbus Zoo"	Gorilla	Chimpanzee
In February 1904 this country attacked the Russian fleet at Port Arthur	Japan	North Korea
"He once wrote, ""I choose to be a plain New Hampshire farmer"""	Robert Frost	Edgar Allan Poe
New studies say it's around 13.7 billion years old (give or take a few million years)	The Universe	The Solar System
"Next to humans, it's the land mammal with the longest lifespan"	Elephant	The Tortoise
In the '60s George Barris bought a concept car from Ford for $1; holy swindle! in 1966 we knew it as this fire-spewing TV car	The Batmobile	The Delorean
This world capital is the most populous city in the West Indies	"Havana, Cuba"	"Kingston, Jamaica"
This punctuation mark is also known as an interrogation point	A question mark	An exclamaition mark
This Frenchman gave his name to the raised dot printing & writing system used by the blind	Louis Braille	Jacques Braille
"Famous 1863 speech by President Lincoln that began, ""Four score and seven years ago..."""	The Gettysburg Address	The Williamsburg Address
"The body has over 60,000 miles of them"	Blood Vessels	Pores
"These people ""die many times before their deaths"""	Cowards	Taxpayers
"Even though it's the world's second longest river, it still has the world's largest drainage basin"	Amazon	Nile
"North American porcupines who gnaw the bark off trees are part of this ""gnawing"" order"	Rodents	Lagomorphs
"According to Proverbs, ""He that troubleth his own house shall"" do this"	Inherit the Wind	Face the Lord's judgement
The Larry O'Brien Trophy features a regulation size sterling silver one of these	A basketball	A football
This imaginary line separates the north Pacific from the south pacific	Equator	Panama Canal
"Early stories in this Japanese religion appeared in the Nihongi & Kojiki, both written around 1,300 years ago"	Shinto	Buddhism
"This egg dish that's often fat & fluffy has a name derived from a middle French word for ""knife blade"""	An Omelet	"""Poached"" eggs"
"From the name of a mythological hero, it's an extended trip, or an intellectual or spiritual quest"	Odyssey	Trek
"This word is found after clinical, manic & postpartum"	Depression	Condition
It's the principal ingredient on the label of a Tootsie Roll	Sugar	Chocolate
"On August 27, 2003 this planet reached its closest point to Earth in nearly 60,000 years"	Mars	Mercury
"This guy ""knew that the sun was out that day, so he said, 'let's run and have some fun now before I melt away'"""	Frosty the Snowman	Jack Frost
"As chief of aeronautics, U.S. Army, Thaddeus Lowe organized a corps of 5 of these"	Balloons	Astrophysicists
"16 months before his ride from Charlestown to Lexington, he participated in the Boston Tea Party"	Paul Revere	Benjamin Franklin
"To avoid lying, is the answer to this question correct?"	Yes	No
This king consulted the witch of Endor	King Saul	C-3PO
"This word meaning ""not reciprocated"" is found with ""love"" in many dictionaries"	Unrequited	Friendzoned
"Colo was the first of these great apes born in captivity, in 1956 at the Columbus Zoo"	Gorilla	Chimpanzee
In February 1904 this country attacked the Russian fleet at Port Arthur	Japan	North Korea
"He once wrote, ""I choose to be a plain New Hampshire farmer"""	Robert Frost	Edgar Allan Poe
New studies say it's around 13.7 billion years old (give or take a few million years)	The Universe	The Solar System
"Next to humans, it's the land mammal with the longest lifespan"	Elephant	The Tortoise
In the '60s George Barris bought a concept car from Ford for $1; holy swindle! in 1966 we knew it as this fire-spewing TV car	The Batmobile	The Delorean
This world capital is the most populous city in the West Indies	"Havana, Cuba"	"Kingston, Jamaica"
This punctuation mark is also known as an interrogation point	A question mark	An exclamaition mark
This Frenchman gave his name to the raised dot printing & writing system used by the blind	Louis Braille	Jacques Braille
"Famous 1863 speech by President Lincoln that began, ""Four score and seven years ago..."""	The Gettysburg Address	The Williamsburg Address
"The body has over 60,000 miles of them"	Blood Vessels	Pores
"These people ""die many times before their deaths"""	Cowards	Taxpayers
"Even though it's the world's second longest river, it still has the world's largest drainage basin"	Amazon	Nile
"North American porcupines who gnaw the bark off trees are part of this ""gnawing"" order"	Rodents	Lagomorphs
"According to Proverbs, ""He that troubleth his own house shall"" do this"	Inherit the Wind	Face the Lord's judgement
The Larry O'Brien Trophy features a regulation size sterling silver one of these	A basketball	A football
This imaginary line separates the north Pacific from the south pacific	Equator	Panama Canal
"Early stories in this Japanese religion appeared in the Nihongi & Kojiki, both written around 1,300 years ago"	Shinto	Buddhism
"This egg dish that's often fat & fluffy has a name derived from a middle French word for ""knife blade"""	An Omelet	"""Poached"" eggs"
"From the name of a mythological hero, it's an extended trip, or an intellectual or spiritual quest"	Odyssey	Trek
"This word is found after clinical, manic & postpartum"	Depression	Condition
It's the principal ingredient on the label of a Tootsie Roll	Sugar	Chocolate
"On August 27, 2003 this planet reached its closest point to Earth in nearly 60,000 years"	Mars	Mercury
"This guy ""knew that the sun was out that day, so he said, 'let's run and have some fun now before I melt away'"""	Frosty the Snowman	Jack Frost
"As chief of aeronautics, U.S. Army, Thaddeus Lowe organized a corps of 5 of these"	Balloons	Astrophysicists
"16 months before his ride from Charlestown to Lexington, he participated in the Boston Tea Party"	Paul Revere	Benjamin Franklin
"To avoid lying, is the answer to this question correct?"	Yes	No
This king consulted the witch of Endor	King Saul	C-3PO
"This word meaning ""not reciprocated"" is found with ""love"" in many dictionaries"	Unrequited	Friendzoned
"The first European to round Africa's southern tip, he was also on the voyage that discovered Brazil"	Bartolomeo Diaz	Ferdinand Magellan
"After years of construction, this canal finally opened for business August 15, 1914"	Panama Canal	Suez Canal
The California Gold Rush started the first big wave of immigration from this Asian nation	China	Japan
Around 1605 Dutchman Willem Jansz became the first European to sight this continent	Australia	Antartica
"In February 1825 this ""liberator"" was elected president of Peru"	Simon Bolivar	Francisco de Miranda
"Founded in 1933, this Spanish political party was named for a Greek military formation"	Falange	Carlist
"This war began with an attack across the 38th Parallel on June 25, 1950"	Korean War	Vietnam War
"On November 15, 1920 the League of Nations held its first meeting in this city"	Geneva	Versailles
In 1968 Soviet troops invaded this country & abducted Communist Party leader Alexander Dubcek	Czechoslovakia	Poland
"In the 4th century Greece became a part of the Byzantine Empire; about 1,100 years later it became part of this empire"	Ottoman Empire	Holy Roman Empire
"In the 1200s this western Italian city-state ruled the central Mediterranean, including Sardinia & Corsica"	Genoa	Venice
The 16th century Spanish Alumbrados predated this similar secret society of 18th century Germany	the Illuminati	Freemasons
"Estimates of when these people abandoned the city of Uxmal range from 600 to 1,000 years ago"	Mayans	Incas
